handle,luna_nova,luna_hard,placements,is_trusted
samsoom,0,192.98,"[{""name"":""AmmanCPC 2026"",""rank"":1,""total"":66,""teamId"":""d5d67655-1904-4514-b788-e3178f87b0e6""},{""name"":""PSUT Marathon 2025"",""rank"":1,""total"":40,""teamId"":""f4eebac6-bad0-4221-b4c4-7a3e2541aa26""}]",true
Barakat.,0,172.88,"[{""name"":""JCPC 2025"",""rank"":9,""total"":115,""teamId"":""8b5f8f4e-3249-4bb1-948f-60435883816e""},{""name"":""AmmanCPC 2026"",""rank"":1,""total"":66,""teamId"":""d5d67655-1904-4514-b788-e3178f87b0e6""},{""name"":""PSUT Marathon 2024"",""rank"":1,""total"":29,""teamId"":""9315158a-f000-4fde-9a2e-d9d49d105c23""},{""name"":""PSUT Marathon 2025"",""rank"":1,""total"":40,""teamId"":""f4eebac6-bad0-4221-b4c4-7a3e2541aa26""},{""name"":""Ramadan Coding Tournament 2025"",""rank"":16,""total"":23,""teamId"":null}]",true
Hanagasumii,0,104.02,"[{""name"":""JCPC 2025"",""rank"":9,""total"":115,""teamId"":""8b5f8f4e-3249-4bb1-948f-60435883816e""},{""name"":""AmmanCPC 2026"",""rank"":1,""total"":66,""teamId"":""d5d67655-1904-4514-b788-e3178f87b0e6""}]",true
ayoooy,0,131.54,"[{""name"":""JCPC 2025"",""rank"":9,""total"":115,""teamId"":""8b5f8f4e-3249-4bb1-948f-60435883816e""}]",true
OmarMajdi,0,129.81,"[]",true
Shaaker,0,110.64,"[]",true
Ghaith_Zakaria,0,137.07,"[{""name"":""AmmanCPC 2026"",""rank"":7,""total"":66,""teamId"":""73903010-a51a-405b-93b9-dbd4b60c53e3""},{""name"":""PSUT Marathon 2025"",""rank"":2,""total"":40,""teamId"":""73903010-a51a-405b-93b9-dbd4b60c53e3""},{""name"":""JCPC 2025"",""rank"":16,""total"":115,""teamId"":""73903010-a51a-405b-93b9-dbd4b60c53e3""},{""name"":""Ramadan Coding Tournament 2025"",""rank"":4,""total"":23,""teamId"":null}]",true
0xmar,0,108.59,"[{""name"":""AmmanCPC 2026"",""rank"":7,""total"":66,""teamId"":""73903010-a51a-405b-93b9-dbd4b60c53e3""},{""name"":""PSUT Marathon 2025"",""rank"":2,""total"":40,""teamId"":""73903010-a51a-405b-93b9-dbd4b60c53e3""},{""name"":""JCPC 2025"",""rank"":16,""total"":115,""teamId"":""73903010-a51a-405b-93b9-dbd4b60c53e3""}]",true
kha20221005,0,0,"[]",true
yousefAbukhass,0,61.45,"[]",true
Tardi,0,74.27,"[]",true
hammoudehib,0,56.4,"[]",true
laith7127,0,56.23,"[]",true
Batata,0,148.06,"[{""name"":""AmmanCPC 2026"",""rank"":7,""total"":66,""teamId"":""73903010-a51a-405b-93b9-dbd4b60c53e3""},{""name"":""PSUT Marathon 2025"",""rank"":2,""total"":40,""teamId"":""73903010-a51a-405b-93b9-dbd4b60c53e3""},{""name"":""JCPC 2025"",""rank"":16,""total"":115,""teamId"":""73903010-a51a-405b-93b9-dbd4b60c53e3""}]",true
the_seal,0,146.02,"[{""name"":""PSUT Marathon 2025"",""rank"":6,""total"":40,""teamId"":""57a0417a-da5c-4f78-83be-f50a38721a2d""},{""name"":""AmmanCPC 2026"",""rank"":4,""total"":66,""teamId"":""57a0417a-da5c-4f78-83be-f50a38721a2d""},{""name"":""Ramadan Coding Tournament 2025"",""rank"":4,""total"":23,""teamId"":null}]",true
LazLooz,0,136.78,"[{""name"":""AmmanCPC 2026"",""rank"":4,""total"":66,""teamId"":""57a0417a-da5c-4f78-83be-f50a38721a2d""},{""name"":""PSUT Marathon 2025"",""rank"":6,""total"":40,""teamId"":""57a0417a-da5c-4f78-83be-f50a38721a2d""}]",true
--hmzabanna--,0,138.42,"[{""name"":""AmmanCPC 2026"",""rank"":4,""total"":66,""teamId"":""57a0417a-da5c-4f78-83be-f50a38721a2d""},{""name"":""PSUT Marathon 2025"",""rank"":6,""total"":40,""teamId"":""57a0417a-da5c-4f78-83be-f50a38721a2d""}]",true
mhna.,0,0,"[{""name"":""PSUT Marathon 2024"",""rank"":1,""total"":29,""teamId"":""9315158a-f000-4fde-9a2e-d9d49d105c23""}]",true
